date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-03-18,79.1405,79.8446,78.8555,79.392,8757308,8757308,0.32692,0.413,79.494,"Mar 18, 14",0.004855179955549046
2014-03-19,79.3417,79.8865,78.0675,78.5705,9914653,9914653,-0.821497,-1.035,76.5482,"Mar 19, 14",-0.0055424486510295
2014-03-20,78.3274,79.4171,77.9669,79.283,10405003,10405003,0.712521,0.907,79.1458,"Mar 20, 14",0.003475579811766934
2014-03-21,79.7189,80.4649,79.0567,79.0567,24482606,24482606,-0.226332,-0.285,76.6539,"Mar 21, 14",0.0006113274031623445
2014-03-24,79.4339,79.7189,79.1992,79.3333,9539768,9539768,0.276632,0.35,79.4591,"Mar 24, 14",0.004112220979035135
2014-03-25,79.7189,80.3224,79.4674,79.5596,9799558,9799558,0.226329,0.285,80.0746,"Mar 25, 14",0.006976473387639904
2014-03-26,80.1045,80.1213,79.1405,79.3836,11033634,11033634,-0.176033,-0.221,79.3723,"Mar 26, 14",0.004748862146303516
2014-03-27,79.3081,80.8925,78.8471,80.6745,15427492,15427492,1.2909,1.626,80.014,"Mar 27, 14",0.021087631188582482
2014-03-28,80.8673,82.1247,80.8673,81.8984,12321804,12321804,1.2239,1.517,81.729,"Mar 28, 14",0.036578389133307354
2014-03-31,82.5606,82.8624,81.5798,81.8816,12375215,12375215,-0.016765,-0.02,82.0811,"Mar 31, 14",0.036365753514816294
2014-04-01,81.8565,82.0912,81.5463,81.9235,9476393,9476393,0.041912,0.051,81.7628,"Apr 1, 14",0.03689607687283896
2014-04-02,81.7559,82.2001,81.4625,82.1079,9550006,9550006,0.184417,0.225,81.9109,"Apr 2, 14",0.03923000592342088
2014-04-03,82.0073,82.6025,81.781,82.0912,10119284,10119284,-0.016767,-0.02,82.302,"Apr 3, 14",0.03901863599313499
2014-04-04,82.4013,82.745,81.5463,81.6134,12496720,12496720,-0.477808,-0.582,82.0422,"Apr 4, 14",0.032971177748188855
2014-04-07,81.5212,81.7559,81.1029,81.1272,10126378,10126378,-0.486193,-0.596,81.2901,"Apr 7, 14",0.026817401693997187
